"id";"company_id";"customer";"article_name";"comments";"article_image";"room_images_id";"address_number";"address";"rent";"park";"initial_cost";"floor_plan";"common_service_expense";"term_of_contract";"floor_number";"column";"live_flag_id";"map_url";"map_url_air";"created_at";"updated_at";"published_at"
48;19;29;"中頭郡北谷町字吉原のアパート";"北玉小学校裏にあります築浅物件に空がでます♪閑静な住宅街にありまして、対面キッチンのワンルームのお部屋、バストイレ別です！インターネットが無料でご利用できます♪";"http://www.img-asp.jp/bkn/37730322_1_652_555_3.jpg?t=1549099280";"[325]";"9040105";"沖縄県中頭郡北谷町字吉原";4.5;"有/0円";"4.5万円";"1Ｒ洋室, 12.6畳";"0";"2年";"3階";"・日当たり良好, ・学生向け, ・カップル向け, ・女性向け, ・新婚さん向け, ・室内洗濯機置場, ・フローリング, ・プロパンガス, ・公営水道, ・公共下水, ・電気有, ・照明器具付き, ・対面式キッチン, ・バス・トイレ別, ・エアコン, ・インターネット対応, ・ネット使用料無料";"57";"https://www.google.com/maps/place/%E3%80%92904-0105+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E5%90%89%E5%8E%9F/@26.3184412,127.7649553,15z/data=!3m1!4b1!4m5!3m4!1s0x34e512f88dba75b9:0x5cb9e5bfaec60a50!8m2!3d26.313017!4d127.770917";"https://www.google.com/maps/place/%E3%80%92904-0105+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E5%90%89%E5%8E%9F/@26.3184412,127.7649553,3414m/data=!3m1!1e3!4m5!3m4!1s0x34e512f88dba75b9:0x5cb9e5bfaec60a50!8m2!3d26.313017!4d127.770917";"2019-02-10 05:15:58";"";""
49;19;29;"中頭郡読谷村字大木のアパート";"閑静な住宅街にある３階角のお部屋です☆学区の古堅小学校向かいにあるのでお子様の通学にとても便利♪送り迎えがらくらくです！イオンタウンまで車で約５分、すぐ近くにも商店があるので買物便利♪";"http://es1.img-asp.jp/bkn/33567476_1_652_555_3.jpg?t=1549099235";"[326]";"9040316";"沖縄県中頭郡読谷村字大木";3.9;"有/0円";"3.9万円";"2ＤＫDK 8.0畳, 和室6.0畳, 洋室6.0畳";"1,000円";"2年";"3階";"・カップル向け, ・新婚さん向け, ・ファミリー向け, ・フローリング, ・ベランダ, ・プロパンガス, ・公営水道, ・公共下水, ・電気有, ・照明器具付き, ・洗濯機置場有, ・バス・トイレ別, ・シャワー, ・エアコン";"58";"https://www.google.com/maps/place/%E3%80%92904-0316+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E8%AA%AD%E8%B0%B7%E6%9D%91%E5%A4%A7%E6%9C%A8/@26.3823095,127.7421788,16z/data=!3m1!4b1!4m5!3m4!1s0x34e51169939af82b:0xd570dcb948c35935!8m2!3d26.3806681!4d127.7470691";"https://www.google.com/maps/place/%E3%80%92904-0316+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E8%AA%AD%E8%B0%B7%E6%9D%91%E5%A4%A7%E6%9C%A8/@26.3823095,127.7421788,1706m/data=!3m1!1e3!4m5!3m4!1s0x34e51169939af82b:0xd570dcb948c35935!8m2!3d26.3806681!4d127.7470691";"2019-02-10 05:15:58";"";""
50;19;29;"中頭郡北谷町美浜２丁目のマンション";"インターネットが無料で利用できるちょっと広めのお部屋！1階にはオートロックドアがあります。釣具屋さんの「シーランド」様すぐ近く、買物・遊びに人気の美浜エリア！徒歩でスーパーに行けますので日用品の買物も便利♪";"http://es1.img-asp.jp/bkn/34011560_1_652_555_3.jpg?t=1549099235";"[327]";"9040115";"沖縄県中頭郡北谷町美浜２丁目";4.3;"有/0円";"4.3万円";"1Ｒ, 洋室14.0畳";"2,000円";"-";"2階";"・日当たり良好, ・２人入居可, ・学生向け, ・カップル向け, ・女性向け, ・新婚さん向け, ・室内洗濯機置場, ・フローリング, ・ベランダ, ・プロパンガス, ・公営水道, ・公共下水, ・電気有, ・エアコン, ・インターネット対応, ・ネット使用料無料, ・オートロック";"59";"https://www.google.com/maps/place/%E3%80%92904-0115+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E7%BE%8E%E6%B5%9C%EF%BC%92%E4%B8%81%E7%9B%AE/@26.3168791,127.7574554,17z/data=!4m5!3m4!1s0x34e5130467f8658b:0x671bcd4d46b5ce44!8m2!3d26.3166833!4d127.7592481";"https://www.google.com/maps/place/%E3%80%92904-0115+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E7%BE%8E%E6%B5%9C%EF%BC%92%E4%B8%81%E7%9B%AE/@26.3168791,127.7574554,853m/data=!3m2!1e3!4b1!4m5!3m4!1s0x34e5130467f8658b:0x671bcd4d46b5ce44!8m2!3d26.3166833!4d127.7592481";"2019-02-10 05:15:58";"";""
51;19;29;"中頭郡北谷町北前１丁目のマンション";"3階の角部屋で収納たっぷりありますのでご家族が多い方々にもオススメ物件です！隣には公園があるので休日にお子様と一緒に遊びましょう♪国道58号線が近く、那覇方面や名護方面へのアクセスが便利です☆";"http://www.img-asp.jp/bkn/34339070_1_652_555_3.jpg?t=1549099235";"[328]";"9040117";"沖縄県中頭郡北谷町北前１丁目";5.7;"有/0円";"5.7万円";"3ＤＫDK8.0畳, 和室6.0畳, 洋室6.0畳, 洋室6.0畳";"2,620円";"-";"3階";"・日当たり良好, ・２人入居可, ・学生向け, ・カップル向け, ・女性向け, ・新婚さん向け, ・ファミリー向け, ・海が近い, ・フローリング, ・プロパンガス, ・公営水道, ・公共下水, ・電気有, ・照明器具付き, ・洗濯機置場有, ・ガスコンロ, ・バス・トイレ別, ・シャワー, ・シューズボックス";"60";"https://www.google.com/maps/place/%E3%80%92904-0115+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E7%BE%8E%E6%B5%9C%EF%BC%92%E4%B8%81%E7%9B%AE/@26.3168791,127.7574554,17z/data=!4m5!3m4!1s0x34e5130467f8658b:0x671bcd4d46b5ce44!8m2!3d26.3166833!4d127.7592481";"https://www.google.com/maps/place/%E3%80%92904-0115+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E7%BE%8E%E6%B5%9C%EF%BC%92%E4%B8%81%E7%9B%AE/@26.3168791,127.7574554,853m/data=!3m1!1e3!4m5!3m4!1s0x34e5130467f8658b:0x671bcd4d46b5ce44!8m2!3d26.3166833!4d127.7592481";"2019-02-10 05:15:58";"";""
52;19;29;"中頭郡読谷村字比謝のマンション";"徒歩で「サンエー大湾シティー」様に行けます♪周辺には商業施設ができて買物にとても便利な地域になりました！東向きのベランダなので暖かい陽が入ります♪買物や交通、日当り風通しのイイお部屋に住んでみませんか？今なら家賃1ヶ月サービス中！";"http://es1.img-asp.jp/bkn/40026384_1_652_555_3.jpg?t=1549099189";"[329]";"9040311";"沖縄県中頭郡読谷村字比謝";4.1;"有/0円";"4.1万円";"2ＤＫDK8.0畳, 和室6.0畳, 洋室6.0畳";"1,000円";"-";"2階";"・日当たり良好, ・２人入居可, ・フリーレント, ・学生向け, ・カップル向け, ・女性向け, ・新婚さん向け, ・ファミリー向け, ・フローリング, ・ベランダ, ・プロパンガス, ・公営水道, ・公共下水, ・電気有, ・バス・トイレ別, ・シューズボックス";"61";"https://www.google.com/maps?q=%E3%80%929040311%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E8%AA%AD%E8%B0%B7%E6%9D%91%E5%AD%97%E6%AF%94%E8%AC%9D&um=1&ie=UTF-8&sa=X&ved=0ahUKEwjhweCdmrPgAhUaIIgKHfu_AxsQ_AUIDigB";"https://www.google.com/maps/place/%E3%80%92904-0311+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E8%AA%AD%E8%B0%B7%E6%9D%91%E6%AF%94%E8%AC%9D/@26.37887,127.7483748,3412m/data=!3m2!1e3!4b1!4m5!3m4!1s0x34e5116fc827649b:0x1ac934b5b018bc3a!8m2!3d26.3770935!4d127.7535439";"2019-02-10 05:15:58";"";""
53;19;29;"中城郡読谷村字比謝のマンション";"風通しのイイ３階の角部屋♪国道５８号線や県道６号線へアクセスが便利なので職場が恩納村や北部方面、沖縄市方面の方にもオススメです！近くにコンビニや飲食店、「サンエー大湾シティー」様も徒歩圏内なので買物に便利！生活が便利な地域になりました♪";"http://es1.img-asp.jp/bkn/34439096_1_652_555_3.jpg?t=1549099235";"[330]";"9040311";"沖縄県中頭郡読谷村字比謝";4.4;"有/0円";"4.4万円";"2ＤＫ, DK8.0畳, 和室6.0畳, 洋室6.0畳";"1,000円";"-";"3階";"・日当たり良好,・２人入居可,・フリーレント,・学生向け,・カップル向け,・女性向け,・新婚さん向け,・ファミリー向け,・フローリング,・ベランダ,・プロパンガス,・公営水道,・公共下水,・電気有,・バス・トイレ別,・シューズボックス";"62";"https://www.google.com/maps?q=%E3%80%929040311%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E8%AA%AD%E8%B0%B7%E6%9D%91%E5%AD%97%E6%AF%94%E8%AC%9D&um=1&ie=UTF-8&sa=X&ved=0ahUKEwjhweCdmrPgAhUaIIgKHfu_AxsQ_AUIDigB";"https://www.google.com/maps/place/%E3%80%92904-0311+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E8%AA%AD%E8%B0%B7%E6%9D%91%E6%AF%94%E8%AC%9D/@26.37887,127.7483748,3412m/data=!3m2!1e3!4b1!4m5!3m4!1s0x34e5116fc827649b:0x1ac934b5b018bc3a!8m2!3d26.3770935!4d127.7535439";"2019-02-10 05:15:58";"";""
54;19;29;"中頭郡北谷町北谷２丁目のマンション";"アラハビーチ沿いにある５階角部屋物件です！日ごろの疲れも家に帰れば室内からみえる眺望で日々癒されそうです♪コンビニの『ローソン北谷ハンビー店』様が向かいにあり、徒歩５分圏内に深夜12時まで営業の『サンエーハンビータウン』様があるので買物にとても便利です♪";"http://es1.img-asp.jp/bkn/35945780_1_652_555_3.jpg?t=1549099235";"[331]";"9040116";"沖縄県中頭郡北谷町北谷２丁目";5.5;"有/0円";"5.5万円";"1ＲK2.0畳, 洋室6.0畳";"0";"-";"5階";"・日当たり良好, ・眺望良好, ・単身者入居, ・学生向け, ・カップル向け, ・女性向け, ・新婚さん向け, ・海が近い, ・フローリング, ・プロパンガス, ・公営水道, ・公共下水, ・エレベーター, ・電気有, ・照明器具付き, ・洗濯機置場有, ・IHクッキングヒーター, ・冷蔵庫あり, ・バス・トイレ別, ・シャワー, ・エアコン, ・インターネット対応, ・オートロック";"63";"https://www.google.co.jp/maps/place/%E3%80%92904-0116+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E5%8C%97%E8%B0%B7%EF%BC%92%E4%B8%81%E7%9B%AE/@26.3044507,127.7580764,17z/data=!3m1!4b1!4m5!3m4!1s0x34e51318ba04b64d:0xb3f973497018881!8m2!3d26.3034984!4d127.7607262?hl=ja&authuser=0";"https://www.google.co.jp/maps/place/%E3%80%92904-0116+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E5%8C%97%E8%B0%B7%EF%BC%92%E4%B8%81%E7%9B%AE/@26.3044507,127.7580764,768m/data=!3m1!1e3!4m5!3m4!1s0x34e51318ba04b64d:0xb3f973497018881!8m2!3d26.3034984!4d127.7607262?hl=ja&authuser=0";"2019-02-10 05:15:58";"";""
55;19;29;"中頭郡読谷村字伊良皆のアパート";"「ファミリーマート」様近くのお部屋です！国道58号線がすぐ近くなので交通にとても便利♪バス停が近いので北部や南部向けにバス通勤や通学されてますお客様にオススメ！";"http://es2.img-asp.jp/bkn/34515233_1_652_555_3.jpg?t=1549099188";"[332]";"9040303";"沖縄県中頭郡読谷村字伊良皆";3.5;"有/0円";"3.5万円";"2ＬＤＫ, 和室6.0畳, 洋室6.0畳, LDK8.0畳";"0";"2年";"2階";"・カップル向け, ・新婚さん向け, ・ファミリー向け, ・室内洗濯機置場, ・ベランダ, ・プロパンガス, ・公営水道, ・電気有, ・照明器具付き, ・エアコン";"64";"https://www.google.co.jp/maps/place/%E3%80%92904-0115+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E7%BE%8E%E6%B5%9C%EF%BC%92%E4%B8%81%E7%9B%AE/@26.3168791,127.7552667,16z/data=!4m5!3m4!1s0x34e5130467f8658b:0x671bcd4d46b5ce44!8m2!3d26.3166833!4d127.7592481?hl=ja&authuser=0";"https://www.google.co.jp/maps/place/%E3%80%92904-0115+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E7%BE%8E%E6%B5%9C%EF%BC%92%E4%B8%81%E7%9B%AE/@26.3168791,127.7552667,1536m/data=!3m2!1e3!4b1!4m5!3m4!1s0x34e5130467f8658b:0x671bcd4d46b5ce44!8m2!3d26.3166833!4d127.7592481?hl=ja&authuser=0";"2019-02-10 05:15:58";"";""
56;19;29;"中頭郡北谷町北前１丁目のアパート";"「サンエーハンビータウン」様の近くにメゾネットタイプのお洒落な物件が空いています！リノベーションしました！！リビング広々、対面キッチンなので料理をしながらお子様の様子が見えます。";"http://img.ielove.jp/bkn/34518199_1_652_555_3.jpg?t=1549099188";"[333]";"9040117";"沖縄県中頭郡北谷町北前１丁目";25.0;"有/0円";"25万円";"2ＬＤＫ, 洋室6.0畳, 洋室8.0畳, LDK24.5畳";"2,000円";"2年";"3-4階";"・日当たり良好, ・リノベーション済, ・学生向け, ・カップル向け, ・女性向け, ・新婚さん向け, ・ファミリー向け, ・海が近い, ・室内洗濯機置場, ・フローリング, ・ベランダ, ・プロパンガス, ・公営水道, ・公共下水, ・電気有, ・照明器具付き, ・対面式キッチン, ・バス・トイレ別";"65";"https://www.google.com/maps/search/%E3%80%92904-0117+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E5%8C%97%E5%89%8D%EF%BC%91%E4%B8%81%E7%9B%AE/@26.299503,127.7568992,17z/data=!3m1!4b1";"https://www.google.com/maps/search/%E3%80%92904-0117+%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E5%8C%97%E5%89%8D%EF%BC%91%E4%B8%81%E7%9B%AE/@26.299503,127.7568884,854m/data=!3m1!1e3";"2019-02-10 05:15:58";"";""
57;19;29;"宜野湾市喜友名２丁目のアパート";"日当り風通しのイイ２階角！近くに、24時間営業スーパーの「ユニオン新城店」様があります♪";"http://www.img-asp.jp/bkn/35946418_1_652_555_3.jpg?t=1549099188";"[334]";"9012222";"沖縄県宜野湾市喜友名２丁目";4.3;"有/0円";"4.3万円";"1Ｒ, 洋室10.0畳";"0";"2年";"2階";"・日当たり良好, ・眺望良好, ・学生向け, ・カップル向け, ・女性向け, ・ベランダ, ・プロパンガス, ・公営水道, ・公共下水, ・電気有, ・照明器具付き, ・エアコン, ・日当たり良好, ・眺望良好";"66";"https://www.google.com/maps/place/%E3%80%92901-2222+%E6%B2%96%E7%B8%84%E7%9C%8C%E5%AE%9C%E9%87%8E%E6%B9%BE%E5%B8%82%E5%96%9C%E5%8F%8B%E5%90%8D%EF%BC%92%E4%B8%81%E7%9B%AE/@26.2846337,127.7585467,17z/data=!4m5!3m4!1s0x34e5132c9f137d77:0x5c5fcb006797de49!8m2!3d26.2855634!4d127.7602495";"https://www.google.com/maps/place/%E3%80%92901-2222+%E6%B2%96%E7%B8%84%E7%9C%8C%E5%AE%9C%E9%87%8E%E6%B9%BE%E5%B8%82%E5%96%9C%E5%8F%8B%E5%90%8D%EF%BC%92%E4%B8%81%E7%9B%AE/@26.2846337,127.7585467,854m/data=!3m2!1e3!4b1!4m5!3m4!1s0x34e5132c9f137d77:0x5c5fcb006797de49!8m2!3d26.2855634!4d127.7602495";"2019-02-10 05:15:58";"";""
